Tahun,Skenario_Ekonomi,Kecamatan,Kelurahan,Jumlah_Penduduk,Kepadatan_Penduduk,Persentase_Usia_Produktif,Rata_Rata_Pendapatan,Jumlah_UMKM_Kuliner,Jumlah_UMKM_Jasa,Jumlah_UMKM_Retail,Jumlah_Coffee_Shop,Jumlah_Laundry,Jumlah_Sekolah_Kampus,Jumlah_Fasilitas_Kesehatan,Jumlah_Bank_ATM,Skor_Aksesibilitas,Indeks_Harga_Properti,Volume_Lalu_Lintas_Harian,Latitude,Longitude
2023,Normal,Laweyan,Bumi,19552,17584,70.69,6011720,103,98,115,12,63,18,1,3,9,68,37939,-7.570354220394864,110.82847796057702
2023,Normal,Laweyan,Panularan,9360,21101,73.54,6704891,71,92,140,15,16,24,4,3,5,72,2167,-7.565435872052797,110.8195514164053
2023,Normal,Pasar Kliwon,Pasar Kliwon,6062,15174,79.92,5156940,141,14,192,22,22,14,12,8,1,87,2542,-7.565378706660368,110.82536536735107
2023,Normal,Pasar Kliwon,Gajahan,26677,21575,61.46,6823532,197,36,151,1,9,4,6,18,8,97,43348,-7.566946920537822,110.82460106355872
2023,Normal,Pasar Kliwon,Mojo,22749,11494,79.72,4786643,151,45,99,30,23,11,6,6,3,88,16485,-7.564119748221962,110.86177158572775
2023,Normal,Pasar Kliwon,Joyosuran,16714,8748,68.1,6731916,145,67,177,27,65,8,7,0,3,62,15683,-7.582557575062523,110.8312587779068
2023,Normal,Pasar Kliwon,Semanggi,5504,4823,70.57,4255195,136,15,87,43,49,12,13,14,5,65,28509,-7.5911589698866555,110.83900409596993
2023,Normal,Pasar Kliwon,Sangkrah,16003,17843,61.51,5881028,66,58,43,14,35,0,5,2,7,60,14323,-7.57446074542715,110.83554564666078
2023,Normal,Pasar Kliwon,Kedung Lumbu,6353,15023,77.81,4428479,171,37,146,7,40,7,10,17,5,90,5835,-7.569984087579573,110.82831179423266
2023,Normal,Pasar Kliwon,Baluwarti,25159,18837,60.65,3997562,180,93,234,27,33,12,14,2,6,67,5804,-7.570524422551704,110.82603987985476
2023,Normal,Pasar Kliwon,Kauman,23222,4009,78.65,4493176,128,14,148,32,69,17,1,10,5,75,5158,-7.564228835131317,110.81956618378632
2023,Normal,Pasar Kliwon,Kampung Baru,25309,10938,71.38,3769114,180,10,178,47,59,5,12,16,5,80,10860,-7.56261880113125,110.8291862007112
2023,Normal,Serengan,Serengan,10989,21844,71.7,3842786,72,46,231,9,21,20,14,8,1,94,18100,-7.562460478893006,110.82506765504822
2023,Normal,Serengan,Tipes,29323,8544,73.43,4046237,51,43,121,30,43,1,6,2,2,61,43944,-7.576948218749484,110.81445754674479
2023,Normal,Serengan,Jayengan,22461,12580,61.77,4360395,76,26,141,46,27,14,5,13,2,60,16781,-7.568747169118529,110.82794411171275
2023,Normal,Serengan,Kratonan,18051,13521,71.8,3506949,49,88,120,33,56,24,6,0,8,64,5637,-7.564172589254148,110.8226206011122
2023,Normal,Serengan,Kemlayan,9854,14320,78.99,4207689,151,19,213,16,21,19,8,4,2,55,15388,-7.564389820131082,110.82208394247974
2023,Normal,Serengan,Danukusuman,10569,10269,72.67,6191276,134,32,212,15,20,7,4,7,4,74,19271,-7.56532044308048,110.82666819392492
2023,Normal,Serengan,Joyotakan,8266,8188,79.46,6023802,80,60,176,20,9,17,12,9,6,70,40749,-7.566286612954417,110.8215239583622
2023,High Growth,Banjarsari,Kadipiro,11944,14160,70.07,6032387,64,36,102,25,51,24,6,14,8,79,46162,-7.5377643457088945,110.82656612652556
2023,High Growth,Banjarsari,Nusukan,25475,8432,65.54,5176028,20,17,142,34,56,14,8,13,7,63,45247,-7.548962419461644,110.82307352424898
2023,High Growth,Banjarsari,Gilingan,21782,10809,60.73,5481718,75,16,32,46,27,13,11,14,2,87,40650,-7.55324882460853,110.82050035822924
2023,High Growth,Banjarsari,Setabelan,7251,17503,65.38,4951277,47,83,68,16,48,24,1,12,4,74,43563,-7.563806992350468,110.82731902169235
2023,High Growth,Banjarsari,Kestalan,13189,20616,69.97,4165360,130,95,63,46,12,7,1,11,3,91,36240,-7.571367632947661,110.82926434390792
2023,High Growth,Banjarsari,Keprabon,25329,19679,71.42,5521413,78,79,150,32,57,21,5,5,6,97,28139,-7.569973139242383,110.82105953968053
2023,High Growth,Banjarsari,Timuran,17443,14589,63.47,3871570,74,18,160,30,44,4,4,5,2,69,15043,-7.570936528764632,110.82722747058982
2023,High Growth,Banjarsari,Ketelan,31057,12837,79.5,5556413,113,60,91,1,12,18,13,11,5,55,31105,-7.564856544477065,110.82602314245389
2023,High Growth,Banjarsari,Punggawan,15049,20608,74.72,3742539,159,56,30,25,18,5,5,10,4,62,48362,-7.570518871963516,110.82540300711662
2023,High Growth,Banjarsari,Mangkubumen,26384,16977,69.09,4080221,24,32,167,43,6,12,8,1,4,50,2342,-7.562847959454187,110.82222254096475
2023,High Growth,Banjarsari,Banyuanyar,16346,18231,72.12,5759560,182,58,98,43,54,13,5,10,9,83,20019,-7.56557855361656,110.82366576515417
2023,High Growth,Banjarsari,Sumber,13820,9415,74.43,4080923,79,73,122,7,15,8,5,13,3,70,16524,-7.564369971255743,110.8206602157113
2023,High Growth,Banjarsari,Banjarsari,25496,4077,70.46,4388254,151,98,71,24,22,7,8,6,8,63,40711,-7.568853271294352,110.82485939475004
2023,High Growth,Banjarsari,Joglo,17801,10565,70.8,4027258,82,24,182,16,57,7,8,18,7,55,28202,-7.567469371952261,110.82387869342226
2023,High Growth,Banjarsari,Manahan,23715,19374,77.57,5290531,52,36,193,28,42,24,1,4,7,82,39141,-7.566693733790947,110.82661759267828
2023,High Growth,Banjarsari,Kepatihan Kulon,7605,8612,77.54,6172241,116,47,170,30,51,3,13,19,8,64,36996,-7.5690487016249,110.82460688849363
2023,High Growth,Banjarsari,Kepatihan Wetan,26358,18382,68.18,5945020,192,11,184,30,40,3,10,10,5,69,13298,-7.564656144540313,110.81949640970372
2023,High Growth,Jebres,Jebres,20110,14789,64.55,6955274,42,56,119,45,16,12,8,17,9,82,27215,-7.559957756643871,110.85155224470336
2023,High Growth,Jebres,Mojosongo,6118,11147,71.3,4529424,87,14,149,36,35,8,6,18,8,90,4797,-7.545471224250423,110.8412416941183
2023,High Growth,Jebres,Pucangsawit,21119,5792,62.26,6579541,168,99,139,35,58,22,9,0,6,89,3708,-7.5628215554276315,110.82060823480741
2023,High Growth,Jebres,Jagalan,17528,13524,66.7,4009328,199,66,146,25,45,2,4,10,6,51,9070,-7.56774293012893,110.82804319386636
2023,High Growth,Jebres,Sewu,14349,7600,71.74,4561402,127,60,211,23,29,6,4,5,5,73,47240,-7.567518267179805,110.82908256245278
2023,High Growth,Jebres,Gandekan,29089,8757,64.4,4677384,133,94,78,6,53,19,6,7,1,56,10984,-7.567948574849188,110.82920576212322
2023,High Growth,Jebres,Sudiroprajan,7096,13181,75.0,6697534,142,65,240,31,34,16,13,15,8,68,19449,-7.566433680637132,110.82256581003573
2023,High Growth,Jebres,Tegalharjo,6056,9490,69.07,4292783,132,47,208,3,5,7,13,6,3,81,38641,-7.562451784281517,110.8251449010778
2023,High Growth,Jebres,Purwodiningratan,6805,18422,79.58,5681168,51,59,164,28,12,0,9,2,8,72,11682,-7.56853494193465,110.82303333605726
2023,High Growth,Jebres,Kepatihan,22449,7300,63.57,5129013,116,17,191,34,36,23,14,10,4,86,22389,-7.562081577518639,110.81931974963894
2023,High Growth,Laweyan,Laweyan,21073,21327,61.74,7047690,93,16,190,22,23,15,13,18,4,78,32419,-7.569569640068937,110.82852120531442
2023,High Growth,Laweyan,Pajang,26839,14112,76.35,4097017,167,20,159,2,16,19,5,4,6,79,46960,-7.577535144313458,110.78898288801001
2023,High Growth,Laweyan,Sondekan,12687,15093,75.6,7104722,100,83,187,45,18,8,8,1,9,88,24752,-7.570370970106932,110.81972424487115
2023,High Growth,Laweyan,Karangasem,28624,12633,78.01,6033204,117,96,66,10,22,20,10,3,9,87,27657,-7.5703235574274785,110.82096506424581
2023,High Growth,Laweyan,Jajar,12793,16875,64.13,3914929,125,95,242,26,61,5,11,7,2,61,47828,-7.56889708205839,110.82894341164021
2023,High Growth,Laweyan,Kerten,28896,12646,71.47,4275822,164,35,242,27,66,13,2,10,1,85,22874,-7.569377803888567,110.82697703727615
2023,High Growth,Laweyan,Penumping,18985,10819,74.38,6487878,58,63,127,46,28,21,6,4,8,82,41483,-7.5715001617106905,110.82513412855273
2023,High Growth,Laweyan,Sriwedari,14639,19826,71.9,6134136,100,71,138,42,30,1,5,8,9,89,38904,-7.571337093920404,110.82404391742652
2023,High Growth,Laweyan,Purwosari,28501,4060,73.77,5362215,61,34,68,34,7,17,5,11,3,79,21581,-7.562505691626356,110.80328026876852
2023,High Growth,Laweyan,Bumi,29812,20314,78.35,6176464,36,83,86,48,51,11,14,15,8,68,6895,-7.566762457962901,110.8247410868988
2023,High Growth,Laweyan,Panularan,18116,5750,74.48,4787916,44,91,118,11,19,8,13,14,7,66,13182,-7.568523907695326,110.82913493079278
2023,High Growth,Pasar Kliwon,Pasar Kliwon,28661,20774,60.68,6211350,136,16,166,47,63,22,13,17,4,88,20426,-7.569618162471513,110.82354450232138
2023,High Growth,Pasar Kliwon,Gajahan,9971,4614,60.74,7239801,178,33,137,44,7,4,11,7,7,72,13651,-7.564940223939341,110.82820611581805
2023,High Growth,Pasar Kliwon,Mojo,13891,10640,70.77,4874779,172,22,239,32,20,12,10,11,2,84,1545,-7.563463562575736,110.85788441848077
2023,High Growth,Pasar Kliwon,Joyosuran,9813,13996,70.58,6733664,179,48,75,28,66,16,13,11,9,65,20895,-7.588139029461299,110.82783710738845
2023,High Growth,Pasar Kliwon,Semanggi,24312,14616,75.37,6764299,172,93,162,0,53,2,13,13,8,79,35801,-7.588770244237564,110.83861990108136
2023,High Growth,Pasar Kliwon,Sangkrah,29243,18269,71.78,6874947,195,74,210,45,19,16,9,3,5,86,42898,-7.575658352137248,110.83817415845877
2023,High Growth,Pasar Kliwon,Kedung Lumbu,10295,12202,78.07,4631313,172,80,81,3,63,7,4,18,2,75,18320,-7.569381118662613,110.82636414013734
2023,High Growth,Pasar Kliwon,Baluwarti,16532,18199,67.0,4971962,24,63,76,22,53,8,3,19,1,91,19850,-7.565669232342748,110.82903460948592
2023,High Growth,Pasar Kliwon,Kauman,30130,11906,64.49,6270758,139,98,102,3,18,4,2,10,9,52,44642,-7.566670270428892,110.8249872307909
2023,High Growth,Pasar Kliwon,Kampung Baru,23732,17774,73.1,6260746,24,20,216,33,42,7,11,4,2,55,41996,-7.56298083562965,110.82816356490049
2023,High Growth,Serengan,Serengan,15648,12987,61.52,6568308,100,49,74,31,66,18,10,2,8,89,31561,-7.566497508037615,110.82731456902775
2023,High Growth,Serengan,Tipes,11742,5312,77.57,5038179,166,89,197,27,63,15,9,12,9,91,21670,-7.57589542579131,110.81166019829345
2023,High Growth,Serengan,Jayengan,9174,20106,79.23,7118232,50,32,199,9,36,10,5,6,2,85,49845,-7.56583327358643,110.82657495528908
2023,High Growth,Serengan,Kratonan,5558,13882,79.62,7057513,36,69,221,23,39,15,6,18,7,59,22736,-7.562117234316329,110.82041606312643
2023,High Growth,Serengan,Kemlayan,15160,5435,72.65,4927575,56,31,225,19,68,16,12,16,6,50,21953,-7.564347190851278,110.82027557552205
2023,High Growth,Serengan,Danukusuman,17202,8799,73.52,5673041,183,61,154,11,11,10,1,5,3,60,30241,-7.565604882292886,110.82540769814644
2023,High Growth,Serengan,Joyotakan,17641,17025,79.94,6990346,118,22,68,14,33,10,4,1,4,71,12722,-7.561965085386677,110.82012877161401
2023,Low Growth,Banjarsari,Kadipiro,25689,15645,63.02,6051591,111,30,76,15,63,19,6,18,9,54,6626,-7.53669204958166,110.81983064017936
2023,Low Growth,Banjarsari,Nusukan,11802,16155,74.49,5080471,181,70,192,48,29,23,12,17,8,95,6776,-7.545694289929184,110.82313915822488
2023,Low Growth,Banjarsari,Gilingan,8242,12711,75.42,4262099,193,59,228,2,68,11,5,2,4,95,1526,-7.5547068037769,110.82402826950091
2023,Low Growth,Banjarsari,Setabelan,7812,15536,72.15,4366592,103,18,195,47,64,21,6,1,8,57,30759,-7.5698252399054935,110.82468067222405
2023,Low Growth,Banjarsari,Kestalan,23913,8167,69.29,4004698,83,91,139,46,42,10,13,0,6,90,31087,-7.567833353720954,110.82723807064252
2023,Low Growth,Banjarsari,Keprabon,21053,7762,62.1,3480850,164,85,150,45,36,14,6,19,1,59,10127,-7.56819140609957,110.82459390054638
2023,Low Growth,Banjarsari,Timuran,26059,20385,70.68,6621075,177,42,106,25,26,6,2,5,7,75,11361,-7.564558204863251,110.82437864437209
2023,Low Growth,Banjarsari,Ketelan,20300,7041,60.82,3943835,191,58,133,10,65,2,11,5,9,55,27015,-7.569961547744862,110.82212649162962
2023,Low Growth,Banjarsari,Punggawan,5274,7911,74.28,3635673,81,93,91,46,11,10,4,15,4,55,28961,-7.570621071912491,110.82143045782281
2023,Low Growth,Banjarsari,Mangkubumen,20334,4894,72.87,4018022,60,69,135,13,16,22,12,12,9,94,18650,-7.562942280827436,110.82113354209606
2023,Low Growth,Banjarsari,Banyuanyar,23770,8780,63.64,5185705,138,62,212,31,55,11,2,5,2,68,1661,-7.570613247818753,110.82306505714736
2023,Low Growth,Banjarsari,Sumber,9161,6920,69.87,4304943,175,83,64,28,58,14,1,6,1,79,47804,-7.562419509978882,110.8237583034724
2023,Low Growth,Banjarsari,Banjarsari,20464,6071,68.51,5442721,23,29,217,23,54,16,3,8,4,83,23015,-7.568233655376248,110.82818955323337
2023,Low Growth,Banjarsari,Joglo,16152,15171,68.43,4860626,189,67,154,11,7,12,2,7,5,64,28490,-7.567571271436952,110.82543426367272
2023,Low Growth,Banjarsari,Manahan,23726,16765,63.59,3474905,191,23,107,1,41,4,6,12,9,96,33781,-7.5707054218101035,110.82739009913966
2023,Low Growth,Banjarsari,Kepatihan Kulon,9119,18296,73.25,4603477,89,26,152,24,32,1,3,4,5,50,22927,-7.5695018016514934,110.82272860925818
2023,Low Growth,Banjarsari,Kepatihan Wetan,24642,16588,64.74,3383298,50,20,39,2,18,15,10,9,9,50,7276,-7.569869195033652,110.82673603653384
2023,Low Growth,Jebres,Jebres,19603,14552,63.34,4717026,47,46,204,36,41,16,1,11,8,77,18774,-7.561445784551037,110.85149979095806
2023,Low Growth,Jebres,Mojosongo,6404,4619,70.8,5459206,167,87,159,8,41,19,10,0,7,84,21677,-7.541032392514736,110.84493940543292
2023,Low Growth,Jebres,Pucangsawit,14937,9178,66.32,4472649,198,87,41,41,24,20,2,10,2,74,24857,-7.569672748179702,110.82017440675207
2023,Low Growth,Jebres,Jagalan,19378,10638,70.43,5929396,170,53,67,19,27,12,4,15,2,91,18275,-7.569266820679254,110.82279667330627
2023,Low Growth,Jebres,Sewu,8996,14225,63.77,4436917,27,38,125,37,9,14,6,14,2,50,48414,-7.565329236842397,110.8229955802355
2023,Low Growth,Jebres,Gandekan,9726,19504,76.62,4460463,66,85,248,7,50,3,1,0,3,80,48055,-7.569868546778802,110.82555007421368
2023,Low Growth,Jebres,Sudiroprajan,18016,13519,73.02,4588716,109,71,249,1,68,5,9,0,9,74,46743,-7.562561882417109,110.82639380800651
2023,Low Growth,Jebres,Tegalharjo,11327,4488,62.18,3973439,117,13,131,18,17,8,7,18,1,73,41957,-7.564980513961152,110.8273297695624
2023,Low Growth,Jebres,Purwodiningratan,13312,7726,72.6,5924752,162,30,176,28,37,16,1,2,6,75,45298,-7.566126182301915,110.82311343391926
2023,Low Growth,Jebres,Kepatihan,11409,6989,70.01,5265681,104,35,101,47,32,20,13,11,5,83,12556,-7.570063838803584,110.82143908084748
2023,Low Growth,Laweyan,Laweyan,15734,15022,67.89,3867551,106,79,75,49,47,12,5,10,7,65,28764,-7.563990214068006,110.82425634223927
2023,Low Growth,Laweyan,Pajang,25295,12906,67.6,5603675,87,30,170,21,23,1,14,3,5,95,37378,-7.574778705818009,110.78944353391047
2023,Low Growth,Laweyan,Sondekan,14139,17467,70.78,4514474,163,45,187,17,6,16,13,3,9,79,35054,-7.563093605771612,110.8219674904262
2023,Low Growth,Laweyan,Karangasem,19674,19945,76.0,3491450,178,80,220,48,46,9,8,3,4,53,13149,-7.56527407432251,110.82919590242275
2023,Low Growth,Laweyan,Jajar,6458,13600,67.47,4626413,192,56,152,12,26,21,5,8,9,64,17393,-7.564165726796364,110.82697562410047
2023,Low Growth,Laweyan,Kerten,14836,13852,78.12,5042592,171,89,78,25,41,3,2,18,4,88,37041,-7.564436030611469,110.82163207587128
2023,Low Growth,Laweyan,Penumping,26964,9010,72.48,6624875,88,56,78,34,37,22,5,16,6,97,3852,-7.562885970839495,110.8250340533051
2023,Low Growth,Laweyan,Sriwedari,19963,4987,64.12,6401390,30,19,230,13,61,24,2,2,7,70,29482,-7.570124051364252,110.82256333190514
2023,Low Growth,Laweyan,Purwosari,26755,15543,62.57,6592792,38,77,247,37,46,6,13,13,4,89,47820,-7.560804590441728,110.80335742965394
2023,Low Growth,Laweyan,Bumi,16758,18210,68.02,3519228,116,79,198,38,17,16,12,1,5,93,37378,-7.568495940851512,110.8229505408583
2023,Low Growth,Laweyan,Panularan,8792,5735,73.02,5934785,63,67,32,21,6,22,12,1,6,66,10686,-7.568415141627807,110.82788906419995
2023,Low Growth,Pasar Kliwon,Pasar Kliwon,18153,4661,71.25,5617026,55,78,106,28,35,14,9,15,9,65,4083,-7.569107973939464,110.82272706626689
2023,Low Growth,Pasar Kliwon,Gajahan,17775,11123,69.5,6457057,49,32,121,39,9,19,8,11,1,79,33916,-7.567163818413667,110.82415727365253
2023,Low Growth,Pasar Kliwon,Mojo,17475,8895,62.55,5523471,35,85,67,33,18,3,1,17,2,90,36585,-7.557147476244124,110.85755032836738
2023,Low Growth,Pasar Kliwon,Joyosuran,19091,9299,65.59,3697529,173,77,239,5,39,21,11,14,6,86,25819,-7.582698782182344,110.8276113619252
2023,Low Growth,Pasar Kliwon,Semanggi,8651,16329,70.79,6158325,192,44,187,23,34,13,6,2,7,63,9264,-7.5847915175098075,110.84324457248138
2023,Low Growth,Pasar Kliwon,Sangkrah,16801,10721,63.08,5921787,182,91,235,19,14,24,2,0,4,80,6901,-7.577778107475958,110.83488987202738
2023,Low Growth,Pasar Kliwon,Kedung Lumbu,9421,18716,66.35,4266895,188,15,54,12,12,20,2,3,9,64,47659,-7.569067364711337,110.82624123136874
2023,Low Growth,Pasar Kliwon,Baluwarti,11723,11967,62.44,6186912,111,22,60,13,24,17,13,5,2,72,7610,-7.561613571494625,110.82750786574083
2023,Low Growth,Pasar Kliwon,Kauman,10858,17828,75.62,6600404,29,98,159,10,54,23,9,18,9,84,6448,-7.5675219084680405,110.82291423826297
2023,Low Growth,Pasar Kliwon,Kampung Baru,21434,13074,63.56,5531489,163,13,33,38,44,16,5,6,4,78,42779,-7.567654451746285,110.82926496634056
2023,Low Growth,Serengan,Serengan,5148,8517,68.52,6076195,82,72,91,34,11,21,14,6,5,71,4716,-7.570452852487484,110.82886955874645
2023,Low Growth,Serengan,Tipes,9006,10548,60.38,3384885,98,30,167,22,62,23,7,4,1,62,23740,-7.580342570654233,110.8089817563633
2023,Low Growth,Serengan,Jayengan,28326,20052,76.03,4926696,192,41,193,16,64,10,5,19,7,75,11749,-7.564340683114054,110.8252492917629
2023,Low Growth,Serengan,Kratonan,10285,8719,74.75,4967604,199,38,195,41,25,9,13,16,9,66,4191,-7.566285046884239,110.82188481862153
2023,Low Growth,Serengan,Kemlayan,5122,10272,76.18,5154266,67,38,126,9,62,7,5,10,7,83,29602,-7.570740016818806,110.82517098519052
2023,Low Growth,Serengan,Danukusuman,26840,20462,77.79,4966037,106,97,202,18,36,11,1,4,8,62,29758,-7.561966138441997,110.8225850101359
2023,Low Growth,Serengan,Joyotakan,8033,6711,60.71,6569877,167,30,87,30,15,19,3,6,3,77,29138,-7.565257907776348,110.81945943956437
2024,Normal,Banjarsari,Kadipiro,14243,14759,65.3,4211666,57,90,165,39,29,8,2,14,2,52,12824,-7.5449635382516655,110.82627276430964
2024,Normal,Banjarsari,Nusukan,23675,10979,75.49,6878256,188,98,151,49,14,20,4,11,8,51,34548,-7.551961890112123,110.81667329829197
2024,Normal,Banjarsari,Gilingan,15206,18686,70.42,5214173,51,20,39,14,21,7,2,8,9,89,39714,-7.555773398166303,110.8207613163937
2024,Normal,Banjarsari,Setabelan,26851,15889,78.86,6351409,177,93,242,43,36,18,14,16,8,70,13258,-7.570672775397047,110.82696402359498
2024,Normal,Banjarsari,Kestalan,27259,20422,76.93,3753426,194,27,178,12,25,7,14,7,7,72,15571,-7.564139157037799,110.82489587156378
2024,Normal,Banjarsari,Keprabon,15250,14773,70.79,6509372,32,91,31,28,56,17,3,11,6,92,28044,-7.56590356169655,110.81944160564768
2024,Normal,Banjarsari,Timuran,6858,12706,65.95,4707797,38,32,186,29,43,11,9,4,8,91,37495,-7.5624889186581115,110.8229766779956
2024,Normal,Banjarsari,Ketelan,28209,20898,79.84,5765344,123,73,135,33,14,20,14,6,2,90,3159,-7.566259074022025,110.81979237919869
2024,Normal,Banjarsari,Punggawan,10334,18933,76.96,6241135,77,63,41,16,18,24,2,19,3,80,6110,-7.563482011556658,110.82583890431616
2024,Normal,Banjarsari,Mangkubumen,27104,21508,62.49,6523584,130,13,49,9,28,21,3,4,6,70,14109,-7.567535602894029,110.82044565881884
2024,Normal,Banjarsari,Banyuanyar,7163,18537,72.39,6365915,23,69,86,44,24,16,7,6,4,78,30197,-7.569682890673949,110.82208328548053
2024,Normal,Banjarsari,Sumber,8757,20100,71.6,5324423,74,13,149,23,38,17,3,18,1,95,13693,-7.5711856010085485,110.82311578877405
2024,Normal,Banjarsari,Banjarsari,22487,4541,79.64,4682481,136,40,129,18,52,12,4,16,7,82,34937,-7.564261171411255,110.8289364845755
2024,Normal,Banjarsari,Joglo,5946,13518,79.97,3754987,137,54,190,16,8,19,11,14,6,96,19509,-7.569798100088746,110.8286785058356
